"","EXP1.WT.HOME.1","EXP1.WT.HOME.2","EXP1.WT.HOME.3","EXP1.WT.LEARN.1","EXP1.WT.LEARN.2","EXP1.WT.LEARN.3","EXP1.KIX.LEARN.1","EXP1.KIX.LEARN.2","EXP1.KIX.LEARN.3","EXP2.WT.HOME.1","EXP2.WT.HOME.2","EXP2.WT.HOME.3","EXP2.WT.LEARN.1","EXP2.WT.LEARN.2","EXP2.WT.LEARN.3","EXP2.WT.LEARN.4","EXP2.KIX.LEARN.1","EXP2.KIX.LEARN.2","EXP2.KIX.LEARN.3","EXP2.KIX.LEARN.4"
"ENSMUSG00000114154.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000113934.1",2,0,0,2,1,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0
"ENSMUSG00000052075.7",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ENSMUSG00000041817.14",1324,1216,2371,2143,2372,2282,2314,1736,2627,2204,2532,946,1763,2391,1239,1010,2334,2253,1066,925
"ENSMUSG00000057762.5",2,9,12,4,7,3,2,2,4,3,1,1,1,2,2,1,1,3,2,1
"ENSMUSG00000060739.7",373,379,755,681,746,747,769,587,909,1121,1439,491,831,1263,666,609,1069,1356,574,553
"ENSMUSG00000021666.16",702,885,1525,1211,1266,1278,1073,822,1315,1648,1950,723,1320,1943,878,764,1616,1744,781,716
"ENSMUSG00000021665.8",1998,1949,2961,2623,2940,2746,2802,2091,2880,2605,2982,1006,1961,3131,1346,1357,2421,3140,1322,1193
"ENSMUSG00000041773.7",37378,38070,59058,58351,56250,53921,53367,34080,64555,36011,42592,15776,31220,40901,21137,18463,38214,48431,18690,17660
"ENSMUSG00000097932.1",0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000078952.9",20,2,41,3,8,4,11,15,7,14,9,2,7,16,8,4,15,13,5,9
"ENSMUSG00000098238.1",1,1,1,2,0,1,3,3,4,4,2,1,4,9,6,1,2,5,3,5
"ENSMUSG00000110235.1",11,20,20,31,42,29,40,20,32,30,40,11,26,27,22,5,24,28,14,17
"ENSMUSG00000054944.7",39,24,43,40,73,54,52,32,48,37,30,20,33,21,15,19,39,31,16,18
