"","EXP1.WT.HOME.1","EXP1.WT.HOME.2","EXP1.WT.HOME.3","EXP1.WT.LEARN.1","EXP1.WT.LEARN.2","EXP1.WT.LEARN.3","EXP1.KIX.LEARN.1","EXP1.KIX.LEARN.2","EXP1.KIX.LEARN.3","EXP2.WT.HOME.1","EXP2.WT.HOME.2","EXP2.WT.HOME.3","EXP2.WT.LEARN.1","EXP2.WT.LEARN.2","EXP2.WT.LEARN.3","EXP2.WT.LEARN.4","EXP2.KIX.LEARN.1","EXP2.KIX.LEARN.2","EXP2.KIX.LEARN.3","EXP2.KIX.LEARN.4"
"ENSMUSG00000102693.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064842.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051951.5",1997,2116,3244,3029,3958,3383,3219,2197,3474,175,192,55,154,191,93,91,190,150,74,92
"ENSMUSG00000102851.1",7,27,15,9,6,7,8,7,8,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000103377.1",60,104,186,57,137,104,67,69,93,3,1,1,7,0,1,0,2,5,0,0
"ENSMUSG00000104017.1",25,47,81,29,58,40,26,20,43,1,0,0,6,0,0,0,1,1,0,0
"ENSMUSG00000103025.1",19,22,31,14,27,31,24,16,22,1,2,0,5,0,0,0,0,0,0,0
"ENSMUSG00000089699.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103201.1",17,30,36,18,33,16,34,25,13,1,1,0,3,0,1,0,0,2,0,0
"ENSMUSG00000103147.1",28,37,38,30,50,32,24,11,28,1,0,0,2,0,0,1,0,0,0,0
"ENSMUSG00000103161.1",28,32,80,31,85,31,18,25,22,3,3,0,5,1,1,3,1,5,0,0
"ENSMUSG00000102331.1",58,85,116,73,132,83,59,57,104,34,45,18,42,61,20,28,59,69,19,28
"ENSMUSG00000102348.1",4,6,9,3,1,9,4,4,7,13,10,12,6,10,3,5,9,10,8,6
"ENSMUSG00000102592.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088333.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102343.1",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000025900.12",2,3,18,2,6,5,12,20,9,12,9,2,4,4,4,3,8,11,2,3
"ENSMUSG00000102948.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104123.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025902.13",188,182,233,233,197,158,183,101,144,259,371,105,144,312,114,98,253,300,109,105
"ENSMUSG00000104238.1",4,0,2,1,3,1,1,1,0,2,0,1,0,0,0,0,0,1,1,0
"ENSMUSG00000102269.1",2,2,4,3,4,3,7,3,3,5,11,6,5,8,1,5,10,9,6,2
"ENSMUSG00000096126.1",0,2,0,0,0,0,0,0,0,2,1,2,0,1,0,0,1,0,2,1
"ENSMUSG00000103003.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104328.1",0,0,1,0,0,0,0,4,0,1,3,0,0,1,0,1,2,1,1,1
"ENSMUSG00000102735.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098104.1",34,33,70,62,50,54,48,34,79,4,4,3,3,4,10,4,3,6,3,5
"ENSMUSG00000102175.1",1,4,2,2,8,2,6,1,3,0,2,1,0,0,0,0,1,0,1,1
"ENSMUSG00000088000.1",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
"ENSMUSG00000103265.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000103922.1",59,48,120,103,105,77,96,53,105,12,10,12,7,10,26,17,12,12,13,11
"ENSMUSG00000033845.13",570,610,981,837,1010,878,795,605,945,989,1146,446,708,1109,541,501,928,1075,458,446
"ENSMUSG00000102275.1",10,21,24,24,13,19,18,9,11,40,41,9,15,28,12,9,23,33,6,14
"ENSMUSG00000025903.14",180,205,421,381,393,352,348,338,347,673,809,329,531,904,392,331,792,711,408,347
"ENSMUSG00000104217.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033813.15",647,705,1323,1109,1297,1223,1293,901,1373,1930,2181,814,1548,2253,1106,905,1899,2117,936,837
"ENSMUSG00000062588.4",6,8,26,8,19,12,10,7,9,0,2,1,0,0,2,1,1,1,1,2
"ENSMUSG00000103280.1",27,25,54,28,55,43,36,27,48,57,69,21,53,69,40,33,50,53,23,24
"ENSMUSG00000002459.17",293,304,516,374,439,426,384,267,423,642,815,235,453,833,377,329,684,743,289,287
"ENSMUSG00000091305.1",0,1,3,0,4,0,0,0,3,2,1,1,1,1,0,1,1,1,2,1
"ENSMUSG00000102653.1",2,13,16,17,6,7,5,9,9,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000085623.1",39,59,78,25,38,12,11,15,21,0,0,0,4,2,1,0,0,3,3,2
"ENSMUSG00000091665.1",1,0,0,0,0,0,2,4,0,0,2,1,2,2,2,0,1,1,1,0
"ENSMUSG00000033793.12",2624,2782,5119,4484,4929,4661,4475,3735,5168,6280,7498,2716,4897,7402,3559,3210,6167,6825,3174,2911
"ENSMUSG00000104352.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104046.1",0,1,4,0,2,4,3,0,0,0,3,0,1,1,1,1,0,1,1,0
"ENSMUSG00000102907.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025905.13",33,27,30,6,25,42,24,19,32,50,81,34,56,55,38,27,79,29,31,41
"ENSMUSG00000103936.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093015.1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103519.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033774.4",80,145,193,149,164,205,77,44,164,101,127,47,78,92,66,66,92,71,41,44
"ENSMUSG00000103090.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025907.14",1785,1957,4665,2844,3967,3867,3663,2966,4348,3300,3694,1481,2620,3710,1860,1707,3404,3523,1643,1578
"ENSMUSG00000090031.2",67,65,130,106,139,126,99,78,112,210,254,86,141,237,108,103,195,209,110,116
"ENSMUSG00000087247.3",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000103355.1",4,2,9,8,7,16,5,8,10,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102706.1",0,0,3,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"ENSMUSG00000103845.1",144,163,224,214,220,203,187,153,224,25,37,13,28,29,19,9,26,30,17,19
"ENSMUSG00000033740.17",542,535,1079,857,1115,978,1154,846,1104,1209,1191,541,928,1246,670,655,1092,1301,626,544
"ENSMUSG00000103329.2",15,11,57,37,63,39,39,10,35,63,64,33,35,90,49,27,65,78,32,41
"ENSMUSG00000104385.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102135.1",14,8,15,9,5,4,10,2,12,0,1,1,1,0,1,4,1,0,1,0
"ENSMUSG00000103282.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102534.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102213.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103629.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051285.17",1714,1775,3924,3045,3574,3562,3308,2743,3769,4167,5072,1989,3273,4890,2493,2298,4156,4693,2197,2159
"ENSMUSG00000098201.1",4,4,11,3,9,4,1,2,6,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103509.1",125,163,411,225,322,243,188,149,260,3,2,0,10,1,1,0,1,6,0,0
"ENSMUSG00000048538.7",40,36,45,63,61,65,40,35,75,1,2,2,1,5,1,3,3,3,0,5
"ENSMUSG00000103709.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000077244.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102768.1",0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0
"ENSMUSG00000097797.6",27,32,51,28,45,20,33,12,32,91,100,33,71,108,67,49,81,105,52,63
"ENSMUSG00000103498.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103067.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000102320.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104226.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103903.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103557.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025909.16",1153,1283,2139,1738,1965,1867,1772,1338,2196,915,861,400,678,922,449,431,823,948,429,408
"ENSMUSG00000102647.1",3,7,32,9,33,11,12,27,16,3,0,0,5,0,0,2,2,3,2,0
"ENSMUSG00000086235.1",6,6,6,5,9,1,2,4,5,3,2,1,5,3,1,2,6,10,3,1
"ENSMUSG00000102253.1",24,25,39,31,23,35,10,16,39,2,2,0,0,0,0,0,3,1,0,0
"ENSMUSG00000093970.1",2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103884.1",3,19,4,8,12,2,10,11,4,0,0,0,0,1,1,1,0,0,0,1
"ENSMUSG00000084353.1",1,0,2,0,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103933.1",48,36,68,72,57,65,61,46,61,3,3,1,0,0,0,1,0,0,0,2
"ENSMUSG00000076135.1",9,12,41,20,20,21,24,11,37,0,1,0,0,0,0,0,0,0,0,1
"ENSMUSG00000086195.1",1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104504.1",0,0,5,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"ENSMUSG00000066693.2",7,8,15,12,11,6,15,17,11,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102316.1",3,1,3,1,7,3,0,3,5,1,2,2,1,3,1,3,2,2,3,2
"ENSMUSG00000103819.1",4,15,7,6,14,3,7,1,4,1,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102871.1",15,19,32,8,51,17,11,20,23,2,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000101571.2",5,0,4,1,4,4,1,5,12,0,0,1,1,0,1,0,1,0,0,0
"ENSMUSG00000104428.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102272.1",0,0,0,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"ENSMUSG00000065625.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103411.1",0,0,0,1,1,0,0,0,3,3,2,3,2,4,1,1,2,4,2,1
"ENSMUSG00000061024.8",746,691,1117,1050,938,843,913,615,1030,824,869,310,581,972,443,440,795,936,376,384
"ENSMUSG00000025911.14",230,275,468,413,385,457,345,269,358,698,814,256,520,965,390,323,557,650,282,264
"ENSMUSG00000079671.8",34,46,77,53,76,78,41,46,41,73,76,21,47,69,35,32,78,50,23,21
"ENSMUSG00000081441.3",1,1,4,0,6,6,1,2,1,3,3,0,6,5,4,2,3,0,5,1
"ENSMUSG00000067879.3",2876,4181,6606,6956,7346,7630,5714,4878,7213,10350,12271,4289,8064,11021,5640,4846,9795,8276,4202,3817
"ENSMUSG00000099827.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000025912.16",69,61,120,70,93,75,70,88,91,75,91,29,68,96,37,43,85,83,41,30
"ENSMUSG00000045210.8",1431,1683,3291,2780,3349,2829,2827,2010,3281,2425,2717,1126,2068,2825,1475,1223,2600,2712,1188,1129
"ENSMUSG00000097893.8",1,2,4,4,3,3,2,2,2,7,6,3,5,5,2,2,3,4,3,2
"ENSMUSG00000025915.14",140,212,391,262,302,362,323,295,301,415,605,207,311,829,286,248,438,412,337,259
"ENSMUSG00000046334.4",0,1,2,7,5,4,3,7,2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088916.1",1,0,3,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046101.16",39,58,73,56,72,62,67,61,76,146,146,64,137,154,81,62,165,147,77,72
"ENSMUSG00000098234.7",125,140,245,246,255,255,244,203,292,352,495,166,301,420,201,218,353,460,196,189
"ENSMUSG00000093178.1",0,1,4,3,0,4,2,1,3,3,5,1,4,1,2,1,1,3,0,0
"ENSMUSG00000099032.2",5,4,13,9,16,9,6,3,7,25,29,6,12,16,16,10,14,19,13,8
"ENSMUSG00000104025.1",1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025916.10",3,3,15,14,13,2,9,7,10,25,25,10,19,54,6,9,24,26,6,12
"ENSMUSG00000087199.1",2,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"ENSMUSG00000095780.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"ENSMUSG00000025917.9",721,754,1559,1302,1440,1493,1336,1038,1588,2363,2839,946,1881,2873,1422,1204,2329,2566,1151,1118
"ENSMUSG00000056763.16",457,574,1191,702,922,817,696,568,850,1046,1462,550,859,1361,614,535,1168,1255,582,544
"ENSMUSG00000102356.1",6,5,7,4,5,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067851.11",2813,3134,5821,4647,6010,5006,5101,3863,5644,4121,4537,1796,3247,4762,2399,2162,4295,4462,2138,2067
"ENSMUSG00000088153.1",8,10,4,1,7,6,9,1,4,0,0,0,0,1,0,0,0,2,0,0
"ENSMUSG00000102556.1",15,19,35,25,23,31,20,25,16,1,0,1,2,1,0,0,0,0,0,0
"ENSMUSG00000042501.12",24,5,23,24,8,13,20,19,12,33,19,9,21,27,13,9,23,18,10,9
"ENSMUSG00000103810.1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083422.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000094979.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081417.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103448.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100212.1",1,0,2,5,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100648.1",0,0,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088585.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048960.13",1852,2077,5118,3636,4662,4804,4797,3495,4729,1458,1896,738,1301,2198,917,804,1593,1887,881,751
"ENSMUSG00000077318.1",0,5,2,0,1,1,2,0,3,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000101827.1",0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000103494.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057715.13",1315,1525,2890,2346,2941,2736,2758,1910,3251,3055,3303,1325,2277,3231,1756,1454,3043,3212,1560,1462
"ENSMUSG00000103825.1",9,40,34,13,55,23,28,9,37,0,1,1,0,1,0,1,1,1,0,0
"ENSMUSG00000099845.1",3,6,6,3,6,18,5,1,8,0,0,0,1,0,0,1,0,0,0,0
"ENSMUSG00000103561.1",1,16,12,10,9,4,14,2,11,1,1,0,0,0,0,1,0,0,0,0
"ENSMUSG00000101610.1",10,26,31,23,41,26,26,23,38,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093864.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098555.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000097628.1",1,7,3,9,9,3,8,2,5,0,0,0,0,0,1,0,0,1,1,0
"ENSMUSG00000098163.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097171.1",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101314.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000016918.15",94,105,1155,227,547,916,668,1084,243,288,1319,119,188,2116,554,456,330,214,855,506
"ENSMUSG00000025938.16",154,155,321,187,265,265,216,152,254,102,109,28,113,120,66,69,84,139,57,60
"ENSMUSG00000104518.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000069620.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099498.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042414.7",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000005886.14",2783,3219,4917,4944,5431,4608,4172,2823,4848,3528,3808,1511,2754,3945,1852,1622,3708,3388,1642,1666
"ENSMUSG00000103506.1",8,17,39,22,32,20,15,9,26,0,0,0,1,2,0,1,0,1,0,1
"ENSMUSG00000103495.1",7,14,18,10,9,5,10,8,11,0,1,0,2,0,0,0,0,1,0,0
"ENSMUSG00000099183.1",0,2,2,2,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000102639.1",4,10,12,16,10,7,5,0,7,0,1,0,0,0,0,1,0,0,0,0
"ENSMUSG00000104170.1",11,15,37,31,27,14,15,13,20,0,0,0,3,0,0,0,0,1,0,0
"ENSMUSG00000087782.1",2,0,2,1,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103085.1",73,79,97,63,80,32,45,32,63,0,2,0,5,1,1,1,2,4,0,2
"ENSMUSG00000102664.1",19,34,27,20,24,8,24,17,10,0,0,0,1,0,0,0,0,4,0,0
"ENSMUSG00000101476.1",2,1,1,0,3,0,1,0,2,6,4,0,1,2,1,0,1,0,0,0
"ENSMUSG00000101171.1",0,1,3,1,4,2,1,3,1,0,0,1,2,0,0,0,0,1,0,0
"ENSMUSG00000025935.10",889,795,1648,1284,1567,1461,1370,1077,1400,1144,1483,478,925,1538,662,551,1208,1282,641,523
"ENSMUSG00000025937.6",171,180,382,303,262,356,272,271,320,532,692,207,429,684,333,265,486,588,278,286
"ENSMUSG00000102982.1",3,16,12,15,5,9,1,7,6,2,1,0,0,0,0,1,1,2,0,0
"ENSMUSG00000067813.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"ENSMUSG00000077368.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097711.1",7,3,27,18,12,13,15,7,20,0,2,2,2,0,8,4,1,2,1,3
"ENSMUSG00000102166.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ENSMUSG00000089358.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104209.1",0,2,0,0,0,0,2,0,0,0,1,0,2,0,0,1,0,1,0,0
"ENSMUSG00000025932.14",305,331,604,490,565,513,576,398,681,610,794,251,505,683,362,288,593,801,353,311
"ENSMUSG00000095853.1",0,0,4,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"ENSMUSG00000102588.1",0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054493.2",33,27,34,36,45,29,26,28,44,31,39,12,17,23,11,13,19,20,7,16
"ENSMUSG00000025930.6",46,46,50,53,69,41,65,32,59,53,81,26,48,62,27,26,51,69,13,20
"ENSMUSG00000103492.1",12,8,23,15,13,16,27,15,9,39,23,15,18,37,22,17,24,31,9,19
"ENSMUSG00000081201.1",16,17,42,22,37,39,32,30,53,0,0,1,1,0,1,1,0,0,1,0
"ENSMUSG00000082193.1",20,17,47,25,29,30,32,30,47,1,3,0,1,2,0,1,0,1,0,5
"ENSMUSG00000032769.4",1,9,4,1,4,13,2,5,13,24,25,13,19,17,10,11,10,17,3,6
"ENSMUSG00000088159.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073737.3",16,8,15,18,19,22,19,9,28,5,5,4,4,2,10,3,2,2,6,3
"ENSMUSG00000092083.4",869,1015,2007,1606,2037,1679,1705,1190,2269,787,793,288,642,800,447,345,887,808,350,375
"ENSMUSG00000102937.1",4,15,18,6,12,5,4,4,7,2,0,0,2,1,0,0,0,1,0,0
"ENSMUSG00000104149.1",7,23,30,30,9,13,12,6,12,3,2,1,6,0,1,1,3,1,1,0
"ENSMUSG00000088829.1",2,5,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077377.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101652.1",0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"ENSMUSG00000100814.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000025925.14",167,200,298,182,293,229,196,113,239,290,410,154,252,403,180,188,311,354,148,152
"ENSMUSG00000104379.1",9,18,31,10,10,17,18,14,22,6,7,6,8,10,5,4,12,10,2,3
"ENSMUSG00000032719.4",11,9,22,10,13,22,16,11,16,9,17,3,5,36,7,5,14,10,2,2
"ENSMUSG00000088943.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100652.1",0,0,1,0,0,0,2,3,2,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000067795.13",10,4,25,9,19,19,27,11,14,31,52,15,31,41,29,19,46,47,14,12
"ENSMUSG00000043716.13",3622,3072,6431,5095,6194,6008,6298,4784,7087,7719,9558,3253,5947,9078,4313,4104,7330,9274,4083,3642
"ENSMUSG00000025921.7",550,562,901,701,645,728,722,615,645,546,640,213,454,801,350,285,565,678,334,278
"ENSMUSG00000104165.1",0,2,5,1,2,5,4,6,4,9,5,4,16,12,4,2,11,3,4,3
"ENSMUSG00000100868.1",3,5,11,4,4,2,3,6,3,2,3,2,0,1,0,0,2,3,1,0
"ENSMUSG00000025920.19",1894,1922,3429,3089,3564,3217,3479,2487,3906,5080,5982,2094,3988,5492,2802,2327,5163,5727,2404,2285
"ENSMUSG00000089982.7",2,5,3,1,0,1,5,3,2,2,1,1,1,0,0,0,2,3,1,0
"ENSMUSG00000025939.17",1038,882,1990,1644,2067,1859,1965,1334,2023,2418,2944,1209,1976,2986,1520,1277,2454,3052,1371,1226
"ENSMUSG00000102457.1",36,36,51,31,33,32,36,24,55,11,11,3,10,16,9,4,15,9,9,11
"ENSMUSG00000079658.9",1176,1317,2428,2108,2308,2233,2310,1792,2548,4096,4609,1778,3150,4846,2428,2164,4060,4936,2127,2061
"ENSMUSG00000097744.1",0,1,1,0,0,0,4,0,1,2,0,0,0,1,0,0,1,1,0,0
"ENSMUSG00000100959.1",0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000025940.6",803,876,1354,1259,1343,1388,1232,948,1481,1509,1844,715,1198,1796,883,758,1566,1755,801,730
"ENSMUSG00000025779.10",28,28,33,20,29,16,19,12,34,32,50,17,33,40,22,15,30,58,19,15
"ENSMUSG00000100093.1",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
"ENSMUSG00000091020.3",44,59,94,101,71,76,89,37,77,2,3,2,4,3,2,8,6,3,3,1
"ENSMUSG00000101640.1",0,1,0,5,2,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0
"ENSMUSG00000104133.1",3,0,0,0,0,1,1,1,5,1,0,0,1,0,1,0,0,0,0,1
"ENSMUSG00000042686.5",1433,1582,2694,2311,2361,2076,2406,1658,2809,2032,2050,717,1754,2370,1112,1105,1884,2772,1119,984
"ENSMUSG00000100110.1",0,3,4,2,1,0,0,0,3,0,0,0,0,1,2,0,0,1,0,0
"ENSMUSG00000025777.8",1593,1763,3609,3036,3195,3587,3241,2466,3840,4966,6105,2279,4102,5625,2919,2510,5449,5408,2588,2467
"ENSMUSG00000099899.1",0,1,3,0,2,2,0,0,4,7,12,8,10,12,4,4,12,13,5,2
"ENSMUSG00000100272.1",0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
"ENSMUSG00000100398.1",0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,2
"ENSMUSG00000101589.1",12,15,26,35,24,47,33,19,26,4,13,5,4,6,7,3,5,6,3,7
"ENSMUSG00000102048.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000089534.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067780.3",16,25,39,29,65,39,55,32,34,43,70,25,45,47,32,34,46,46,31,36
"ENSMUSG00000100053.1",1,10,13,5,3,5,4,4,10,33,46,14,40,42,23,19,40,38,22,21
"ENSMUSG00000085125.7",13,31,57,11,50,32,31,17,26,23,18,8,16,14,11,9,13,20,8,7
"ENSMUSG00000025776.13",251,195,397,309,500,419,423,300,396,147,227,59,141,204,99,95,162,209,101,80
"ENSMUSG00000099895.1",3,0,13,5,16,3,2,6,10,4,2,1,3,5,1,0,5,2,3,1
"ENSMUSG00000100554.1",0,2,7,5,2,1,0,3,3,3,5,1,1,1,2,1,0,2,0,1
"ENSMUSG00000099473.1",0,2,2,0,4,2,1,0,0,2,0,0,0,0,0,0,1,1,0,0
"ENSMUSG00000099591.1",2,9,10,8,5,10,5,6,11,3,6,1,4,3,2,3,6,9,0,2
"ENSMUSG00000109887.1",51,42,103,71,109,79,103,70,109,72,98,25,42,94,39,41,76,78,29,31
"ENSMUSG00000102001.1",2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"ENSMUSG00000101717.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025774.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070977.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073735.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
